dataset,model,WQL,MASE,win_rate,n_valid_mase,n_series,elapsed_s,forecast_s,metric_s,vis_s
phihigh_shall_gpfull_s00_c512h1024,chronos-2:autogluon/chronos-2,0.7785216605291071,0.9663142840235928,0.6123046875,1024,256,2.9,2.64,0.23,0.0
phihigh_shall_gpfull_s00_c512h16,chronos-2:autogluon/chronos-2,0.3316266463933558,0.3196374881608449,1.0,1024,256,2.9,2.65,0.02,0.0
phihigh_shall_gpfull_s00_c512h256,chronos-2:autogluon/chronos-2,0.575798352507195,0.7315512322293249,0.7724609375,1024,256,1.6,1.44,0.07,0.0
phihigh_shall_gpfull_s00_c512h64,chronos-2:autogluon/chronos-2,0.35185350621679184,0.38648422961187245,0.9775390625,1024,256,0.9,0.83,0.03,0.0
phihigh_shall_gpfull_s01_c512h1024,chronos-2:autogluon/chronos-2,0.779691841985691,0.9592664107858803,0.64453125,1024,256,2.8,2.49,0.23,0.0
phihigh_shall_gpfull_s01_c512h16,chronos-2:autogluon/chronos-2,0.3347575723218202,0.31097533204818395,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpfull_s01_c512h256,chronos-2:autogluon/chronos-2,0.5686706012312658,0.6939627454496573,0.8095703125,1024,256,1.4,1.34,0.07,0.0
phihigh_shall_gpfull_s01_c512h64,chronos-2:autogluon/chronos-2,0.3604756696762146,0.387517318758119,0.9716796875,1024,256,0.9,0.84,0.02,0.0
phihigh_shall_gpfull_s02_c512h1024,chronos-2:autogluon/chronos-2,0.7924123820565754,0.9876568450654599,0.6005859375,1024,256,3.1,2.78,0.23,0.0
phihigh_shall_gpfull_s02_c512h16,chronos-2:autogluon/chronos-2,0.3377450323118837,0.31951491006293653,0.9951171875,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gpfull_s02_c512h256,chronos-2:autogluon/chronos-2,0.5891498264456801,0.7463961859974548,0.7646484375,1024,256,1.3,1.18,0.06,0.0
phihigh_shall_gpfull_s02_c512h64,chronos-2:autogluon/chronos-2,0.3642152310780771,0.402094728057235,0.966796875,1024,256,0.9,0.83,0.02,0.0
phihigh_shall_gpfull_s03_c512h1024,chronos-2:autogluon/chronos-2,0.7890240737768848,0.9928720500399377,0.6181640625,1024,256,2.5,2.26,0.17,0.0
phihigh_shall_gpfull_s03_c512h16,chronos-2:autogluon/chronos-2,0.3439068502762739,0.3261713700116674,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpfull_s03_c512h256,chronos-2:autogluon/chronos-2,0.5872616171672866,0.7507352940733625,0.7548828125,1024,256,1.4,1.31,0.04,0.0
phihigh_shall_gpfull_s03_c512h64,chronos-2:autogluon/chronos-2,0.3718746663020954,0.4111130027132762,0.9638671875,1024,256,0.9,0.82,0.01,0.0
phihigh_shall_gpfull_s04_c512h1024,chronos-2:autogluon/chronos-2,0.7838116757543163,0.9728500997358088,0.6279296875,1024,256,2.5,2.25,0.17,0.0
phihigh_shall_gpfull_s04_c512h16,chronos-2:autogluon/chronos-2,0.33418816495254633,0.31915805427672156,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpfull_s04_c512h256,chronos-2:autogluon/chronos-2,0.5740558550423749,0.7127218468320287,0.7744140625,1024,256,1.3,1.23,0.04,0.0
phihigh_shall_gpfull_s04_c512h64,chronos-2:autogluon/chronos-2,0.35904435671269447,0.3885657859922555,0.9794921875,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gpfull_s05_c512h1024,chronos-2:autogluon/chronos-2,0.7798263355501531,0.9859447871181704,0.599609375,1024,256,4.0,3.78,0.15,0.0
phihigh_shall_gpfull_s05_c512h16,chronos-2:autogluon/chronos-2,0.32605225263281595,0.31635200232825816,1.0,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gpfull_s05_c512h256,chronos-2:autogluon/chronos-2,0.5661965670621405,0.7139948245536275,0.7744140625,1024,256,1.2,1.13,0.04,0.0
phihigh_shall_gpfull_s05_c512h64,chronos-2:autogluon/chronos-2,0.3494581529624158,0.39010784823503214,0.97265625,1024,256,0.9,0.83,0.02,0.0
phihigh_shall_gpfull_s06_c512h1024,chronos-2:autogluon/chronos-2,0.7895795248051016,0.972509477760501,0.61328125,1024,256,2.5,2.31,0.15,0.0
phihigh_shall_gpfull_s06_c512h16,chronos-2:autogluon/chronos-2,0.3358471771311511,0.31658496628579313,1.0,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpfull_s06_c512h256,chronos-2:autogluon/chronos-2,0.5632038571405278,0.6921001780150609,0.798828125,1024,256,1.2,1.11,0.05,0.0
phihigh_shall_gpfull_s06_c512h64,chronos-2:autogluon/chronos-2,0.3593771242648764,0.39237014795805414,0.9736328125,1024,256,0.9,0.83,0.02,0.0
phihigh_shall_gpfull_s07_c512h1024,chronos-2:autogluon/chronos-2,0.7727837461619727,0.9601729142903721,0.6240234375,1024,256,2.6,2.37,0.17,0.0
phihigh_shall_gpfull_s07_c512h16,chronos-2:autogluon/chronos-2,0.32804010993893334,0.31664557005450766,0.9990234375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gpfull_s07_c512h256,chronos-2:autogluon/chronos-2,0.572532236079808,0.7171129328725568,0.78515625,1024,256,1.3,1.25,0.04,0.0
phihigh_shall_gpfull_s07_c512h64,chronos-2:autogluon/chronos-2,0.3591890662419442,0.4002036159071285,0.9697265625,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s00_c512h1024,chronos-2:autogluon/chronos-2,0.7677445111228564,1.0141160389638895,0.625,1024,256,2.6,2.43,0.15,0.0
phihigh_shall_gphalf_s00_c512h16,chronos-2:autogluon/chronos-2,0.3261404652301868,0.3223904233842946,0.998046875,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gphalf_s00_c512h256,chronos-2:autogluon/chronos-2,0.5345072753338301,0.7081461859532487,0.787109375,1024,256,1.2,1.15,0.05,0.0
phihigh_shall_gphalf_s00_c512h64,chronos-2:autogluon/chronos-2,0.3401296721596672,0.39591149099245837,0.96484375,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s01_c512h1024,chronos-2:autogluon/chronos-2,0.7646620636859687,1.0047884515272307,0.6201171875,1024,256,2.5,2.3,0.17,0.0
phihigh_shall_gphalf_s01_c512h16,chronos-2:autogluon/chronos-2,0.32681142745951475,0.32084999756892796,0.9990234375,1024,256,0.8,0.76,0.01,0.0
phihigh_shall_gphalf_s01_c512h256,chronos-2:autogluon/chronos-2,0.5297565676454464,0.7006688320096194,0.7939453125,1024,256,1.3,1.25,0.05,0.0
phihigh_shall_gphalf_s01_c512h64,chronos-2:autogluon/chronos-2,0.3464016120991039,0.39411585013299677,0.9638671875,1024,256,0.9,0.83,0.01,0.0
phihigh_shall_gphalf_s02_c512h1024,chronos-2:autogluon/chronos-2,0.7560396512853753,0.975665499361637,0.6396484375,1024,256,2.6,2.38,0.15,0.0
phihigh_shall_gphalf_s02_c512h16,chronos-2:autogluon/chronos-2,0.3215031279702819,0.3171982154784747,0.99609375,1024,256,0.8,0.75,0.01,0.0
phihigh_shall_gphalf_s02_c512h256,chronos-2:autogluon/chronos-2,0.5341115612407031,0.6891938733345131,0.8017578125,1024,256,1.2,1.11,0.04,0.0
