cell,H,context,phi,shuf,group,observed_corr,observed_corr_abs,explained,cross_channel_gain,MASE,MASE_sd,n_MASE,WQL,WQL_sd,n_WQL
philow_shnone_gpfull,16,512,low,none,full,0.20064219075542775,0.20277025940692084,0.29826782829256554,-0.004732313068504218,0.6437752097070364,0.005048070850852285,8,0.6922442391609506,0.004791200127082252,8
philow_shnone_gphalf,16,512,low,none,half,0.06890805827694355,0.12325872083707468,0.29807833305426323,-0.022467162185833528,0.646878056192101,0.004780235493553558,8,0.6961346577496904,0.005131142025351988,8
philow_shnone_gpno,16,512,low,none,no,0.000292703311877894,0.08084318831109122,0.29984921876492926,-0.04499029363695112,0.6468931630224749,0.004076030453842069,8,0.6979517639738568,0.004224303596952655,8
philow_shhalf_gpfull,16,512,low,half,full,0.11205884324834628,0.14800575303023855,0.29826782829256554,-0.03724481255752787,0.6473505980410258,0.006075989734824677,8,0.6959278534278246,0.003430803638453854,8
philow_shhalf_gphalf,16,512,low,half,half,0.033451036512075843,0.10312120352367264,0.29807833305426323,-0.038122963279114463,0.6486259057207237,0.0031682463269602466,8,0.6979814384589942,0.005193116914539275,8
philow_shhalf_gpno,16,512,low,half,no,0.0019235837991844825,0.07969377648214794,0.29984921876492926,-0.04689574635168295,0.646562473525464,0.002646572135016586,8,0.6978033888597623,0.004470206639852783,8
philow_shall_gpfull,16,512,low,all,full,0.0038420644285592077,0.07765731383431451,0.29826782829256554,-0.04177907890918653,0.6498173573631243,0.004418177977249599,8,0.6982000410005729,0.0042589337235976335,8
philow_shall_gphalf,16,512,low,all,half,-0.0003565562747241502,0.0807281377475354,0.29807833305426323,-0.045153930953407695,0.649512324892466,0.004062691495776451,8,0.6988536148845519,0.003487086403272219,8
philow_shall_gpno,16,512,low,all,no,-0.0031018118567526145,0.07898378231318925,0.29984921876492926,-0.04554266120074346,0.6471123768695151,0.0040013358600847464,8,0.6983958027087318,0.0026775738893591162,8
phimid_shnone_gpfull,16,512,mid,none,full,0.3872317204366227,0.39012165002877797,0.6018606616438417,0.0015217965692524427,0.5224960433626362,0.0063415171229647795,8,0.566829966489578,0.00779417404177957,8
phimid_shnone_gphalf,16,512,mid,none,half,0.1439804524423836,0.2308606176590766,0.599094090629116,-0.0030504360010953913,0.5266791159439355,0.005315467124536214,8,0.5652903633191677,0.00510994566710567,8
phimid_shnone_gpno,16,512,mid,none,no,-0.00518867936758711,0.13803422600437532,0.600477961758602,-0.022706510755756082,0.5312908201633676,0.004877437716161963,8,0.5647303286770406,0.003089294876874914,8
phimid_shhalf_gpfull,16,512,mid,half,full,0.18808630378635766,0.2622943862012271,0.6018606616438417,-0.02060857317399939,0.5263320326949208,0.0030002126877799696,8,0.5711712198124271,0.005275606526221997,8
phimid_shhalf_gphalf,16,512,mid,half,half,0.08117648902073556,0.19074569142148234,0.599094090629116,-0.01989446726244426,0.5279464630914631,0.003819260459416693,8,0.5668030567693896,0.007686792223813874,8
phimid_shhalf_gpno,16,512,mid,half,no,-0.006712836907811928,0.140448281611158,0.600477961758602,-0.02876258384483027,0.5306012847783426,0.0061518777221088,8,0.5641530355955737,0.004080518230404194,8
phimid_shall_gpfull,16,512,mid,all,full,0.009627938366245582,0.14289900730674593,0.6018606616438417,-0.02591059785114358,0.530317332371687,0.004580328804508594,8,0.5753116413515397,0.0047239555513775575,8
phimid_shall_gphalf,16,512,mid,all,half,-0.00037325379046315764,0.13527928737472067,0.599094090629116,-0.0268416875607288,0.5301026502284423,0.005869430580907721,8,0.5692289874939097,0.004295419920462706,8
phimid_shall_gpno,16,512,mid,all,no,0.004354716920656112,0.1348258239663729,0.600477961758602,-0.02393642224111614,0.530805553453553,0.003901849719025581,8,0.56443251445726,0.0064021832955576015,8
phihigh_shnone_gpfull,16,512,high,none,full,0.6459001185628577,0.6487247687836997,0.899963642287522,-0.004895928667418281,0.30981387068104205,0.006830182645483573,8,0.32463232082493576,0.006361870792502607,8
phihigh_shnone_gphalf,16,512,high,none,half,0.24071167494366696,0.3699574193169655,0.8992418513445132,-0.005968773632005431,0.31686569005268883,0.0033769790951538496,8,0.32128950085052943,0.005345904990595471,8
phihigh_shnone_gpno,16,512,high,none,no,-0.004927439301082831,0.21657779387065063,0.9003171031176057,-0.014227468913983077,0.3145251173740022,0.0038089955578789808,8,0.33326299353190125,0.004872694303012986,8
phihigh_shhalf_gpfull,16,512,high,half,full,0.35262650132580586,0.45621970352460883,0.899963642287522,-0.010686558551616376,0.3143767551667833,0.0057024335753629056,8,0.32959141059042923,0.00536451273419768,8
phihigh_shhalf_gphalf,16,512,high,half,half,0.12735099288051702,0.30624168103169047,0.8992418513445132,-0.010485565419177778,0.3187678776817934,0.005353385015058769,8,0.32321164692106846,0.006638190156906041,8
phihigh_shhalf_gpno,16,512,high,half,no,-0.0037911915040451374,0.21686300831910493,0.9003171031176057,-0.011756611644012316,0.31457344899828554,0.003909221161229103,8,0.33335063042595237,0.003718147531581145,8
phihigh_shall_gpfull,16,512,high,all,full,0.0007504023138183002,0.2224907227632799,0.899963642287522,-0.012308834821518344,0.3181299616536141,0.004290391829404572,8,0.33402047574484756,0.005612597637525542,8
phihigh_shall_gphalf,16,512,high,all,half,-0.010352145346535844,0.21573695742280413,0.8992418513445132,-0.013146427300045782,0.3198920635900334,0.005129123068991902,8,0.32438477226768914,0.004502622200617964,8
phihigh_shall_gpno,16,512,high,all,no,-0.010519301742405038,0.22348791168653614,0.9003171031176057,-0.013556374456817455,0.31423796347866695,0.0036843923015847458,8,0.3332446560407363,0.005755639722382421,8
philow_shnone_gpfull,64,512,low,none,full,0.20064219075542775,0.20277025940692084,0.29826782829256554,-0.004732313068504218,0.657623029181203,0.005522371278941653,8,0.6962439670559083,0.005151791344750753,8
philow_shnone_gphalf,64,512,low,none,half,0.06890805827694355,0.12325872083707468,0.29807833305426323,-0.022467162185833528,0.661681618316275,0.0051849861150605955,8,0.7016297044217757,0.003922125242017911,8
philow_shnone_gpno,64,512,low,none,no,0.000292703311877894,0.08084318831109122,0.29984921876492926,-0.04499029363695112,0.6658764155888028,0.002740364121938718,8,0.7039092668673067,0.0026281166064149714,8
philow_shhalf_gpfull,64,512,low,half,full,0.11205884324834628,0.14800575303023855,0.29826782829256554,-0.03724481255752787,0.662723428848935,0.0053664287294718695,8,0.7013720177054322,0.0033819587236799346,8
philow_shhalf_gphalf,64,512,low,half,half,0.033451036512075843,0.10312120352367264,0.29807833305426323,-0.038122963279114463,0.6635316949980505,0.0034480486008397473,8,0.703579517764203,0.004122906750518661,8
philow_shhalf_gpno,64,512,low,half,no,0.0019235837991844825,0.07969377648214794,0.29984921876492926,-0.04689574635168295,0.6660244323551208,0.002836714946378551,8,0.7039641564248689,0.00294886828226635,8
philow_shall_gpfull,64,512,low,all,full,0.0038420644285592077,0.07765731383431451,0.29826782829256554,-0.04177907890918653,0.6664399489089732,0.002068783081897292,8,0.7049624207278988,0.0017531056060069094,8
philow_shall_gphalf,64,512,low,all,half,-0.0003565562747241502,0.0807281377475354,0.29807833305426323,-0.045153930953407695,0.6657391020948642,0.004459114421848866,8,0.7056555659521628,0.0025445644141651354,8
