dataset,model,WQL,MASE,win_rate,n_valid_mase,n_series,elapsed_s,forecast_s,metric_s,vis_s,repeat1_WQL,repeat1_MASE,repeat2_WQL,repeat2_MASE,coe_mau_repeat1_count,coe_mau_repeat1_sum,coe_mau_repeat1_sum_sq,coe_mau_repeat1_min,coe_mau_repeat1_max,coe_mau_repeat2_count,coe_mau_repeat2_sum,coe_mau_repeat2_sum_sq,coe_mau_repeat2_min,coe_mau_repeat2_max,coe_repeat1_mauhist_under,coe_repeat1_mauhist_over,coe_repeat1_mauhist_nan,coe_repeat1_mauhist_b00,coe_repeat1_mauhist_b01,coe_repeat1_mauhist_b02,coe_repeat1_mauhist_b03,coe_repeat1_mauhist_b04,coe_repeat1_mauhist_b05,coe_repeat1_mauhist_b06,coe_repeat1_mauhist_b07,coe_repeat1_mauhist_b08,coe_repeat1_mauhist_b09,coe_repeat1_mauhist_b10,coe_repeat1_mauhist_b11,coe_repeat1_mauhist_b12,coe_repeat1_mauhist_b13,coe_repeat1_mauhist_b14,coe_repeat1_mauhist_b15,coe_repeat1_mauhist_b16,coe_repeat1_mauhist_b17,coe_repeat1_mauhist_b18,coe_repeat1_mauhist_b19,coe_repeat1_mauhist_b20,coe_repeat1_mauhist_b21,coe_repeat1_mauhist_b22,coe_repeat1_mauhist_b23,coe_repeat1_mauhist_b24,coe_repeat1_mauhist_b25,coe_repeat1_mauhist_b26,coe_repeat1_mauhist_b27,coe_repeat2_mauhist_under,coe_repeat2_mauhist_over,coe_repeat2_mauhist_nan,coe_repeat2_mauhist_b00,coe_repeat2_mauhist_b01,coe_repeat2_mauhist_b02,coe_repeat2_mauhist_b03,coe_repeat2_mauhist_b04,coe_repeat2_mauhist_b05,coe_repeat2_mauhist_b06,coe_repeat2_mauhist_b07,coe_repeat2_mauhist_b08,coe_repeat2_mauhist_b09,coe_repeat2_mauhist_b10,coe_repeat2_mauhist_b11,coe_repeat2_mauhist_b12,coe_repeat2_mauhist_b13,coe_repeat2_mauhist_b14,coe_repeat2_mauhist_b15,coe_repeat2_mauhist_b16,coe_repeat2_mauhist_b17,coe_repeat2_mauhist_b18,coe_repeat2_mauhist_b19,coe_repeat2_mauhist_b20,coe_repeat2_mauhist_b21,coe_repeat2_mauhist_b22,coe_repeat2_mauhist_b23,coe_repeat2_mauhist_b24,coe_repeat2_mauhist_b25,coe_repeat2_mauhist_b26,coe_repeat2_mauhist_b27,coe_es_0p05_depth_sum,coe_es_0p05_depth_n,coe_es_0p05_WQL,coe_es_0p05_MASE,coe_es_0p01_depth_sum,coe_es_0p01_depth_n,coe_es_0p01_WQL,coe_es_0p01_MASE,coe_es_0p001_depth_sum,coe_es_0p001_depth_n,coe_es_0p001_WQL,coe_es_0p001_MASE
H16_phihigh_rhohigh_s00,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4594823978138558,0.5277028047459131,0.91015625,1024,128,8.1,6.92,0.01,0.0,0.506317897840541,0.5557867449442566,0.4594823978138558,0.5277028047459131,1024,686.7817607671022,537.7860272281409,0.07883957028388977,1.4827451705932617,1024,146.09793081879616,29.662253532420664,0.01879747211933136,0.6234763860702515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,72,288,505,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,129,292,307,220,63,2,0,0,0,0,0,0,0,0,2048.0,1024,0.4594823978138558,0.5277028047459131,2048.0,1024,0.4594823978138558,0.5277028047459131,2048.0,1024,0.4594823978138558,0.5277028047459131
H16_phihigh_rhohigh_s01,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4503152582005311,0.5274128140833398,0.9072265625,1024,128,6.6,4.79,0.01,0.0,0.4805911936423988,0.5376901496382107,0.4503152582005311,0.5274128140833398,1024,675.4285422489047,518.5246188713853,0.056971363723278046,1.4484241008758545,1024,151.2592134643346,31.926762200508428,0.021153656765818596,0.6218165159225464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,72,345,445,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,130,271,301,240,68,3,0,0,0,0,0,0,0,0,2048.0,1024,0.4503152582005311,0.5274128140833398,2048.0,1024,0.4503152582005311,0.5274128140833398,2048.0,1024,0.4503152582005311,0.5274128140833398
H16_phihigh_rhohigh_s02,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.45323093804550707,0.5305922536762475,0.91015625,1024,128,6.3,4.8,0.01,0.0,0.48353676711167204,0.5323459480887855,0.45323093804550707,0.5305922536762475,1024,683.0117315724492,533.8022966038039,0.0820489227771759,1.5653135776519775,1024,151.90502826683223,31.826975508417974,0.02130110189318657,0.5798487663269043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,77,325,481,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,130,281,284,250,70,2,0,0,0,0,0,0,0,0,2048.0,1024,0.45323093804550707,0.5305922536762475,2048.0,1024,0.45323093804550707,0.5305922536762475,2048.0,1024,0.45323093804550707,0.5305922536762475
H16_phihigh_rhohigh_s03,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.44829439130941356,0.513010626660656,0.9345703125,1024,128,6.7,4.82,0.01,0.0,0.4867426273134771,0.5311895036737966,0.44829439130941356,0.513010626660656,1024,693.9678054228425,553.8023393998037,0.08715665340423584,1.49104642868042,1024,148.46760021708906,30.530151809382687,0.0195779912173748,0.5416482090950012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,67,345,438,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,115,302,301,237,62,0,0,0,0,0,0,0,0,0,2048.0,1024,0.44829439130941356,0.513010626660656,2048.0,1024,0.44829439130941356,0.513010626660656,2048.0,1024,0.44829439130941356,0.513010626660656
H16_phihigh_rhohigh_s04,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4722235378066557,0.5257713333813802,0.9208984375,1024,128,5.6,4.81,0.01,0.0,0.508672900611377,0.53330281625724,0.4722235378066557,0.5257713333813802,1024,685.6005725041032,539.608902446981,0.0700451135635376,1.5915662050247192,1024,154.18735288642347,33.40978480065739,0.01696038246154785,0.5690484642982483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,67,333,458,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,126,278,288,247,77,1,0,0,0,0,0,0,0,0,2048.0,1024,0.4722235378066557,0.5257713333813802,2048.0,1024,0.4722235378066557,0.5257713333813802,2048.0,1024,0.4722235378066557,0.5257713333813802
H16_phihigh_rhohigh_s05,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4487471343685455,0.5317429778137728,0.9091796875,1024,128,7.6,6.09,0.01,0.0,0.47720083864587215,0.5385005998848222,0.4487471343685455,0.5317429778137728,1024,692.7245758771896,546.6025691142045,0.08571907132863998,1.5213329792022705,1024,150.19674849137664,31.89455387732269,0.016018345952033997,0.6445849537849426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,72,298,506,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,132,293,284,236,65,3,0,0,0,0,0,0,0,0,2048.0,1024,0.4487471343685455,0.5317429778137728,2048.0,1024,0.4487471343685455,0.5317429778137728,2048.0,1024,0.4487471343685455,0.5317429778137728
H16_phihigh_rhohigh_s06,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4660890795781375,0.5110152865413021,0.9169921875,1024,128,6.1,4.8,0.01,0.0,0.5147697104097643,0.5385658893558654,0.4660890795781375,0.5110152865413021,1024,671.6361444890499,513.4371067061583,0.06586053222417831,1.4429898262023926,1024,152.9950938075781,32.590467320600965,0.017978282645344734,0.5589885711669922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,79,331,479,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,105,303,301,218,85,0,0,0,0,0,0,0,0,0,2048.0,1024,0.4660890795781375,0.5110152865413021,2048.0,1024,0.4660890795781375,0.5110152865413021,2048.0,1024,0.4660890795781375,0.5110152865413021
H16_phihigh_rhohigh_s07,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4565980700802371,0.5223230899584246,0.91796875,1024,128,6.3,4.81,0.01,0.0,0.49238128830146355,0.5364139465702326,0.4565980700802371,0.5223230899584246,1024,701.6951417811215,563.5769160985792,0.03830975294113159,1.5713379383087158,1024,149.31654045917094,31.436176414236716,0.01758291944861412,0.578288733959198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,57,340,452,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,143,272,287,240,63,2,0,0,0,0,0,0,0,0,2048.0,1024,0.4565980700802371,0.5223230899584246,2048.0,1024,0.4565980700802371,0.5223230899584246,2048.0,1024,0.4565980700802371,0.5223230899584246
H16_phihigh_rhohigh_s08,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4684010708640055,0.5303337506352805,0.9306640625,1024,128,6.3,4.81,0.01,0.0,0.5157079500873671,0.5570034345723346,0.4684010708640055,0.5303337506352805,1024,684.0128242596984,536.7573339009664,0.09412307292222977,1.491335391998291,1024,151.8102660831064,32.612140046865534,0.021073490381240845,0.6105482578277588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,70,317,487,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,124,288,290,232,78,1,0,0,0,0,0,0,0,0,2048.0,1024,0.4684010708640055,0.5303337506352805,2048.0,1024,0.4684010708640055,0.5303337506352805,2048.0,1024,0.4684010708640055,0.5303337506352805
H16_phihigh_rhohigh_s09,eo:model-step=010400-wql=0.2141-mase=0.9670-composite=0.5152,0.4476030413291193,0.5152984732471747,0.9248046875,1024,128,6.1,4.84,0.01,0.0,0.4765510319585743,0.5227152687830849,0.4476030413291193,0.5152984732471747,1024,682.4220572039485,531.6912269184799,0.058620013296604156,1.5149319171905518,1024,150.426472697407,31.330154199638883,0.021334197372198105,0.5834059715270996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,72,342,467,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,142,264,288,243,74,1,0,0,0,0,0,0,0,0,2048.0,1024,0.4476030413291193,0.5152984732471747,2048.0,1024,0.4476030413291193,0.5152984732471747,2048.0,1024,0.4476030413291193,0.5152984732471747
