dataset,model,WQL,MASE,win_rate,n_valid_mase,n_series,elapsed_s,forecast_s,metric_s,vis_s
H1024_phihigh_rhohigh_s00,chronos-2:autogluon/chronos-2,0.2806184884761602,0.4182114754412664,0.9853515625,1024,128,8.9,5.46,0.27,0.0
H1024_phihigh_rhohigh_s01,chronos-2:autogluon/chronos-2,0.2741141428382651,0.41082075658001194,0.9892578125,1024,128,7.7,4.89,0.19,0.0
H1024_phihigh_rhohigh_s02,chronos-2:autogluon/chronos-2,0.2870984172650892,0.43256516424188574,0.9814453125,1024,128,7.7,5.31,0.19,0.0
H1024_phihigh_rhohigh_s03,chronos-2:autogluon/chronos-2,0.274954196754964,0.4136944286312034,0.9853515625,1024,128,7.1,4.72,0.19,0.0
H1024_phihigh_rhohigh_s04,chronos-2:autogluon/chronos-2,0.27683609810699744,0.4162215810973753,0.982421875,1024,128,7.1,4.7,0.18,0.0
H1024_phihigh_rhohigh_s05,chronos-2:autogluon/chronos-2,0.2717213664392738,0.4118372474605922,0.9873046875,1024,128,7.0,4.63,0.15,0.0
H1024_phihigh_rhohigh_s06,chronos-2:autogluon/chronos-2,0.2641725291239625,0.3992614010671134,0.9873046875,1024,128,7.1,4.62,0.15,0.0
H1024_phihigh_rhohigh_s07,chronos-2:autogluon/chronos-2,0.26985470501715914,0.40416452411505677,0.9892578125,1024,128,7.9,4.65,0.18,0.0
H1024_phihigh_rhohigh_s08,chronos-2:autogluon/chronos-2,0.2693333599323849,0.40462903016472596,0.9931640625,1024,128,8.0,4.82,0.16,0.0
H1024_phihigh_rhohigh_s09,chronos-2:autogluon/chronos-2,0.2581414246321032,0.38799237432704775,0.994140625,1024,128,7.8,4.9,0.16,0.0
H1024_phihigh_rhohigh_s10,chronos-2:autogluon/chronos-2,0.27300434149179614,0.41049848762081775,0.982421875,1024,128,7.1,4.83,0.16,0.0
H1024_phihigh_rhohigh_s11,chronos-2:autogluon/chronos-2,0.2814966972303532,0.4261518467038715,0.98828125,1024,128,8.5,5.33,0.18,0.0
H1024_phihigh_rhohigh_s12,chronos-2:autogluon/chronos-2,0.2887024199524902,0.43347126991076046,0.9765625,1024,128,7.7,4.69,0.2,0.0
H1024_phihigh_rhohigh_s13,chronos-2:autogluon/chronos-2,0.28220272814692393,0.4240265871969131,0.9794921875,1024,128,7.1,4.7,0.16,0.0
H1024_phihigh_rhohigh_s14,chronos-2:autogluon/chronos-2,0.27657512793524236,0.41143737944363734,0.982421875,1024,128,7.1,4.76,0.16,0.0
H1024_phihigh_rhohigh_s15,chronos-2:autogluon/chronos-2,0.27731796012626997,0.4169306129390138,0.982421875,1024,128,7.3,4.72,0.18,0.0
H1024_phihigh_rholow_s00,chronos-2:autogluon/chronos-2,0.2595699252789403,0.38850816601564775,0.98828125,1024,128,6.9,4.84,0.2,0.0
H1024_phihigh_rholow_s01,chronos-2:autogluon/chronos-2,0.25872398377578965,0.39401909156016146,0.9892578125,1024,128,7.2,4.73,0.16,0.0
H1024_phihigh_rholow_s02,chronos-2:autogluon/chronos-2,0.25686839296162256,0.39598114861325284,0.9892578125,1024,128,6.6,4.76,0.15,0.0
H1024_phihigh_rholow_s03,chronos-2:autogluon/chronos-2,0.2593962563179461,0.39428494572809314,0.9873046875,1024,128,7.2,4.76,0.21,0.0
H1024_phihigh_rholow_s04,chronos-2:autogluon/chronos-2,0.261599431042283,0.39663830982147996,0.9951171875,1024,128,7.1,5.16,0.17,0.0
H1024_phihigh_rholow_s05,chronos-2:autogluon/chronos-2,0.2582117701779351,0.39756490650812765,0.9892578125,1024,128,7.9,4.69,0.16,0.0
H1024_phihigh_rholow_s06,chronos-2:autogluon/chronos-2,0.267051314434429,0.4101246962315572,0.98828125,1024,128,7.6,4.72,0.16,0.0
H1024_phihigh_rholow_s07,chronos-2:autogluon/chronos-2,0.25398942239258654,0.38186038701155695,0.9931640625,1024,128,6.9,4.78,0.18,0.0
H1024_phihigh_rholow_s08,chronos-2:autogluon/chronos-2,0.2588008942947724,0.3894871601960179,0.994140625,1024,128,7.5,4.85,0.2,0.0
H1024_phihigh_rholow_s09,chronos-2:autogluon/chronos-2,0.2526369931353687,0.38170140872592023,0.9951171875,1024,128,7.6,4.76,0.16,0.0
H1024_phihigh_rholow_s10,chronos-2:autogluon/chronos-2,0.2577786637226213,0.39311924917218566,0.9892578125,1024,128,7.1,4.72,0.15,0.0
H1024_phihigh_rholow_s11,chronos-2:autogluon/chronos-2,0.2542613527647388,0.3891233554672816,0.990234375,1024,128,7.2,4.74,0.19,0.0
H1024_phihigh_rholow_s12,chronos-2:autogluon/chronos-2,0.259472353787364,0.393437477893113,0.9912109375,1024,128,6.9,4.71,0.17,0.0
H1024_phihigh_rholow_s13,chronos-2:autogluon/chronos-2,0.25437882030547854,0.382181132555942,0.99609375,1024,128,7.2,5.21,0.2,0.0
H1024_phihigh_rholow_s14,chronos-2:autogluon/chronos-2,0.25494504295206527,0.3832776380034069,0.9931640625,1024,128,6.8,4.69,0.16,0.0
H1024_phihigh_rholow_s15,chronos-2:autogluon/chronos-2,0.2602187913567148,0.39539630185200936,0.994140625,1024,128,6.9,4.69,0.16,0.0
H1024_phihigh_rhomid_s00,chronos-2:autogluon/chronos-2,0.3044919977330915,0.456134829596096,0.982421875,1024,128,7.3,4.68,0.19,0.0
H1024_phihigh_rhomid_s01,chronos-2:autogluon/chronos-2,0.30727450208656326,0.4657333747532354,0.97265625,1024,128,7.4,4.72,0.18,0.0
H1024_phihigh_rhomid_s02,chronos-2:autogluon/chronos-2,0.29786271809703607,0.45700044783938243,0.978515625,1024,128,8.1,4.67,0.15,0.0
H1024_phihigh_rhomid_s03,chronos-2:autogluon/chronos-2,0.2952923378175299,0.4470682040389839,0.9833984375,1024,128,7.5,4.64,0.17,0.0
H1024_phihigh_rhomid_s04,chronos-2:autogluon/chronos-2,0.3052865590065803,0.46013468342146224,0.98046875,1024,128,7.7,4.68,0.18,0.0
H1024_phihigh_rhomid_s05,chronos-2:autogluon/chronos-2,0.30629740353166934,0.46904555853977115,0.966796875,1024,128,7.1,4.65,0.19,0.0
H1024_phihigh_rhomid_s06,chronos-2:autogluon/chronos-2,0.297925141185649,0.45635617164362047,0.974609375,1024,128,7.9,5.11,0.16,0.0
H1024_phihigh_rhomid_s07,chronos-2:autogluon/chronos-2,0.30299228671806744,0.4566819378500133,0.9765625,1024,128,6.7,4.67,0.15,0.0
H1024_phihigh_rhomid_s08,chronos-2:autogluon/chronos-2,0.2978019783512112,0.4483331513452939,0.9833984375,1024,128,6.5,4.6,0.18,0.0
H1024_phihigh_rhomid_s09,chronos-2:autogluon/chronos-2,0.2997625589237691,0.45255242418969466,0.9833984375,1024,128,6.7,4.68,0.18,0.0
H1024_phihigh_rhomid_s10,chronos-2:autogluon/chronos-2,0.3049501741336834,0.4628414511460386,0.9716796875,1024,128,7.1,4.71,0.15,0.0
H1024_phihigh_rhomid_s11,chronos-2:autogluon/chronos-2,0.3037435528391782,0.4635955205563125,0.9775390625,1024,128,8.0,4.71,0.17,0.0
H1024_phihigh_rhomid_s12,chronos-2:autogluon/chronos-2,0.2965309671516908,0.44857245200864904,0.9833984375,1024,128,7.5,4.57,0.17,0.0
H1024_phihigh_rhomid_s13,chronos-2:autogluon/chronos-2,0.31067668998563713,0.4687921012919819,0.9794921875,1024,128,6.8,4.68,0.19,0.0
H1024_phihigh_rhomid_s14,chronos-2:autogluon/chronos-2,0.30160139306986034,0.4556622571417148,0.96875,1024,128,7.0,4.67,0.16,0.0
H1024_phihigh_rhomid_s15,chronos-2:autogluon/chronos-2,0.3040310909021676,0.46206733215328144,0.982421875,1024,128,7.3,5.2,0.16,0.0
H1024_philow_rhohigh_s00,chronos-2:autogluon/chronos-2,0.27955892799269644,0.36932227534415485,1.0,1024,128,7.6,4.67,0.2,0.0
H1024_philow_rhohigh_s01,chronos-2:autogluon/chronos-2,0.27659592865940863,0.3710354181334909,1.0,1024,128,7.7,4.64,0.18,0.0
H1024_philow_rhohigh_s02,chronos-2:autogluon/chronos-2,0.2773348627050779,0.3728828650042145,1.0,1024,128,6.7,4.65,0.21,0.0
H1024_philow_rhohigh_s03,chronos-2:autogluon/chronos-2,0.2768985013535286,0.36925559228793214,1.0,1024,128,7.3,4.66,0.16,0.0
H1024_philow_rhohigh_s04,chronos-2:autogluon/chronos-2,0.2772775275022855,0.36936902043032094,1.0,1024,128,7.6,5.18,0.16,0.0
H1024_philow_rhohigh_s05,chronos-2:autogluon/chronos-2,0.27844880617382683,0.37301409855359224,1.0,1024,128,6.7,4.72,0.18,0.0
H1024_philow_rhohigh_s06,chronos-2:autogluon/chronos-2,0.27652175164440873,0.3718990187907103,1.0,1024,128,7.3,4.66,0.18,0.0
H1024_philow_rhohigh_s07,chronos-2:autogluon/chronos-2,0.27747371753359173,0.36900841679320706,1.0,1024,128,6.9,4.7,0.16,0.0
H1024_philow_rhohigh_s08,chronos-2:autogluon/chronos-2,0.2758756007538168,0.36758678928989247,1.0,1024,128,7.1,4.74,0.16,0.0
H1024_philow_rhohigh_s09,chronos-2:autogluon/chronos-2,0.27574469337639795,0.3678572208550164,1.0,1024,128,7.5,4.73,0.19,0.0
H1024_philow_rhohigh_s10,chronos-2:autogluon/chronos-2,0.27553235676440807,0.36838105922394115,1.0,1024,128,7.5,4.65,0.19,0.0
H1024_philow_rhohigh_s11,chronos-2:autogluon/chronos-2,0.27726374633468376,0.3718481490408234,1.0,1024,128,6.6,4.63,0.16,0.0
H1024_philow_rhohigh_s12,chronos-2:autogluon/chronos-2,0.27571263114945493,0.3689673677719566,1.0,1024,128,7.1,4.66,0.16,0.0
H1024_philow_rhohigh_s13,chronos-2:autogluon/chronos-2,0.2783038698845125,0.3693935370894803,1.0,1024,128,7.6,5.19,0.18,0.0
H1024_philow_rhohigh_s14,chronos-2:autogluon/chronos-2,0.2765537176046575,0.36622794541245285,1.0,1024,128,7.0,4.68,0.18,0.0
H1024_philow_rhohigh_s15,chronos-2:autogluon/chronos-2,0.2786106937025715,0.3724577819571188,1.0,1024,128,6.8,4.67,0.2,0.0
H1024_philow_rholow_s00,chronos-2:autogluon/chronos-2,0.27955892799269644,0.36932227534415485,1.0,1024,128,7.2,4.65,0.16,0.0
H1024_philow_rholow_s01,chronos-2:autogluon/chronos-2,0.27659592865940863,0.3710354181334909,1.0,1024,128,7.0,4.65,0.16,0.0
H1024_philow_rholow_s02,chronos-2:autogluon/chronos-2,0.2773348627050779,0.3728828650042145,1.0,1024,128,8.0,4.69,0.18,0.0
H1024_philow_rholow_s03,chronos-2:autogluon/chronos-2,0.2768985013535286,0.36925559228793214,1.0,1024,128,7.8,4.62,0.28,0.0
H1024_philow_rholow_s04,chronos-2:autogluon/chronos-2,0.2772775275022855,0.36936902043032094,1.0,1024,128,7.7,4.63,0.16,0.0
H1024_philow_rholow_s05,chronos-2:autogluon/chronos-2,0.27844880617382683,0.37301409855359224,1.0,1024,128,7.2,4.66,0.16,0.0
H1024_philow_rholow_s06,chronos-2:autogluon/chronos-2,0.27652175164440873,0.3718990187907103,1.0,1024,128,7.7,5.15,0.18,0.0
H1024_philow_rholow_s07,chronos-2:autogluon/chronos-2,0.27747371753359173,0.36900841679320706,1.0,1024,128,7.0,4.63,0.23,0.0
H1024_philow_rholow_s08,chronos-2:autogluon/chronos-2,0.2758756007538168,0.36758678928989247,1.0,1024,128,6.9,4.64,0.15,0.0
H1024_philow_rholow_s09,chronos-2:autogluon/chronos-2,0.27574469337639795,0.3678572208550164,1.0,1024,128,6.8,4.68,0.18,0.0
H1024_philow_rholow_s10,chronos-2:autogluon/chronos-2,0.27553235676440807,0.36838105922394115,1.0,1024,128,7.7,4.65,0.18,0.0
H1024_philow_rholow_s11,chronos-2:autogluon/chronos-2,0.27726374633468376,0.3718481490408234,1.0,1024,128,7.8,4.7,0.27,0.0
H1024_philow_rholow_s12,chronos-2:autogluon/chronos-2,0.27571263114945493,0.3689673677719566,1.0,1024,128,6.8,4.66,0.16,0.0
H1024_philow_rholow_s13,chronos-2:autogluon/chronos-2,0.2783038698845125,0.3693935370894803,1.0,1024,128,7.0,4.7,0.17,0.0
H1024_philow_rholow_s14,chronos-2:autogluon/chronos-2,0.2765537176046575,0.36622794541245285,1.0,1024,128,7.0,4.68,0.2,0.0
H1024_philow_rholow_s15,chronos-2:autogluon/chronos-2,0.2786106937025715,0.3724577819571188,1.0,1024,128,7.9,5.18,0.39,0.0
H1024_philow_rhomid_s00,chronos-2:autogluon/chronos-2,0.27955892799269644,0.36932227534415485,1.0,1024,128,6.8,4.69,0.16,0.0
H1024_philow_rhomid_s01,chronos-2:autogluon/chronos-2,0.27659592865940863,0.3710354181334909,1.0,1024,128,7.2,4.69,0.16,0.0
H1024_philow_rhomid_s02,chronos-2:autogluon/chronos-2,0.2773348627050779,0.3728828650042145,1.0,1024,128,7.1,4.68,0.24,0.0
H1024_philow_rhomid_s03,chronos-2:autogluon/chronos-2,0.2768985013535286,0.36925559228793214,1.0,1024,128,7.2,4.65,0.39,0.0
H1024_philow_rhomid_s04,chronos-2:autogluon/chronos-2,0.2772775275022855,0.36936902043032094,1.0,1024,128,7.4,5.2,0.38,0.0
H1024_philow_rhomid_s05,chronos-2:autogluon/chronos-2,0.27844880617382683,0.37301409855359224,1.0,1024,128,6.6,4.64,0.17,0.0
H1024_philow_rhomid_s06,chronos-2:autogluon/chronos-2,0.27652175164440873,0.3718990187907103,1.0,1024,128,7.4,4.66,0.31,0.0
H1024_philow_rhomid_s07,chronos-2:autogluon/chronos-2,0.27747371753359173,0.36900841679320706,1.0,1024,128,6.9,4.68,0.4,0.0
H1024_philow_rhomid_s08,chronos-2:autogluon/chronos-2,0.2758756007538168,0.36758678928989247,1.0,1024,128,7.5,4.68,0.93,0.0
H1024_philow_rhomid_s09,chronos-2:autogluon/chronos-2,0.27574469337639795,0.3678572208550164,1.0,1024,128,6.8,4.65,0.17,0.0
H1024_philow_rhomid_s10,chronos-2:autogluon/chronos-2,0.27553235676440807,0.36838105922394115,1.0,1024,128,7.3,4.66,0.23,0.0
H1024_philow_rhomid_s11,chronos-2:autogluon/chronos-2,0.27726374633468376,0.3718481490408234,1.0,1024,128,7.0,4.68,0.39,0.0
H1024_philow_rhomid_s12,chronos-2:autogluon/chronos-2,0.27571263114945493,0.3689673677719566,1.0,1024,128,6.4,4.64,0.18,0.0
H1024_philow_rhomid_s13,chronos-2:autogluon/chronos-2,0.2783038698845125,0.3693935370894803,1.0,1024,128,8.4,5.24,0.16,0.0
H1024_philow_rhomid_s14,chronos-2:autogluon/chronos-2,0.2765537176046575,0.36622794541245285,1.0,1024,128,7.4,4.74,0.17,0.0
H1024_philow_rhomid_s15,chronos-2:autogluon/chronos-2,0.2786106937025715,0.3724577819571188,1.0,1024,128,7.5,4.63,0.17,0.0
H1024_phimid_rhohigh_s00,chronos-2:autogluon/chronos-2,0.2874117063303564,0.4045736415194804,0.9990234375,1024,128,7.0,4.65,0.18,0.0
H1024_phimid_rhohigh_s01,chronos-2:autogluon/chronos-2,0.28490366512690296,0.406650817680809,0.9951171875,1024,128,7.3,4.64,0.15,0.0
H1024_phimid_rhohigh_s02,chronos-2:autogluon/chronos-2,0.293590532598271,0.42079846986814884,0.9921875,1024,128,8.3,4.65,0.16,0.0
H1024_phimid_rhohigh_s03,chronos-2:autogluon/chronos-2,0.28783880810599793,0.409468066780331,0.9970703125,1024,128,6.7,4.64,0.17,0.0
H1024_phimid_rhohigh_s04,chronos-2:autogluon/chronos-2,0.2897490119937137,0.4113620697670504,0.9990234375,1024,128,7.1,4.63,0.28,0.0
